id,month,date_of_week,year,hour,police_division,fatalities,injury_collision,fail_to_remain_collision,property_damage_collision,automobile,motorcycle,passenger,bicycle,pedestrian
1,January,Wednesday,2014,13,D23,0,0,0,1,1,0,0,NO,0
2,January,Wednesday,2014,19,D42,0,0,1,0,1,0,0,NO,0
3,January,Wednesday,2014,2,NSA,0,1,0,0,1,0,0,NO,0
4,January,Wednesday,2014,3,NSA,0,0,0,1,1,0,0,NO,0
5,January,Wednesday,2014,5,NSA,0,1,0,0,1,0,0,NO,0
6,January,Wednesday,2014,5,NSA,0,0,0,1,1,0,0,NO,0
7,January,Wednesday,2014,8,NSA,0,0,0,1,1,0,0,NO,0
8,January,Wednesday,2014,8,NSA,0,0,0,1,1,0,0,NO,0
9,January,Wednesday,2014,9,NSA,0,0,0,1,1,0,0,NO,0
10,January,Wednesday,2014,9,NSA,0,1,0,0,1,0,1,NO,0
11,January,Wednesday,2014,17,D55,0,1,0,0,1,0,0,NO,0
12,January,Wednesday,2014,17,NSA,0,1,0,0,1,0,0,NO,0
13,January,Wednesday,2014,19,D43,0,0,0,1,1,0,0,NO,0
14,January,Wednesday,2014,3,NSA,0,0,1,0,1,0,0,NO,0
15,January,Wednesday,2014,5,D12,0,0,0,1,1,0,0,NO,0
16,January,Wednesday,2014,14,D13,0,0,0,1,1,0,0,NO,0
17,January,Wednesday,2014,18,D11,0,0,0,1,1,0,0,NO,0
18,January,Wednesday,2014,12,D31,0,0,0,1,1,0,0,NO,0
19,January,Wednesday,2014,1,D14,0,0,0,1,1,0,0,NO,0
20,January,Wednesday,2014,2,D23,0,0,0,1,1,0,0,NO,0
21,January,Wednesday,2014,17,D53,0,0,1,0,1,0,0,NO,0
22,January,Wednesday,2014,11,D53,0,0,1,0,1,0,0,NO,0
23,January,Wednesday,2014,5,D55,0,1,0,0,1,0,1,NO,0
24,January,Wednesday,2014,1,D52,0,0,0,1,1,0,0,NO,0
25,January,Wednesday,2014,15,NSA,0,0,0,1,1,0,0,NO,0
26,January,Wednesday,2014,18,D41,0,0,0,1,1,0,0,NO,0
27,January,Wednesday,2014,12,D52,0,0,0,1,1,0,0,NO,0
28,January,Wednesday,2014,20,D52,0,0,0,1,1,0,0,NO,0
29,January,Wednesday,2014,16,D55,0,0,0,1,1,0,0,NO,0
30,January,Wednesday,2014,4,D43,0,1,0,0,1,0,1,NO,0
31,January,Wednesday,2014,13,NSA,0,0,1,0,1,0,0,NO,0
32,January,Wednesday,2014,16,D42,0,0,0,1,1,0,0,NO,0
33,January,Wednesday,2014,15,D43,0,0,0,1,1,0,0,NO,0
34,January,Wednesday,2014,19,D33,0,0,1,0,1,0,0,NO,0
35,January,Wednesday,2014,21,D12,0,0,0,1,1,0,0,NO,0
36,January,Wednesday,2014,7,D22,0,1,0,0,1,0,0,NO,0
37,January,Wednesday,2014,22,D42,0,0,0,1,1,0,0,NO,0
38,January,Wednesday,2014,11,D51,0,1,0,0,1,0,0,NO,0
39,January,Wednesday,2014,22,D11,0,0,1,0,1,0,0,NO,0
40,January,Wednesday,2014,19,D43,0,0,0,1,1,0,0,NO,0
41,January,Wednesday,2014,20,D32,0,0,1,0,1,0,0,NO,0
42,January,Wednesday,2014,14,D23,0,1,0,0,1,0,0,NO,1
45,January,Wednesday,2014,17,D55,0,0,0,1,1,0,0,NO,0
46,January,Wednesday,2014,4,D33,0,0,0,1,1,0,0,NO,0
47,January,Wednesday,2014,11,D32,0,0,1,0,1,0,0,NO,0
48,January,Wednesday,2014,2,D33,0,0,0,1,1,0,0,NO,0
51,January,Wednesday,2014,14,D14,0,0,1,0,1,0,0,NO,0
52,January,Wednesday,2014,7,NSA,0,0,1,0,1,0,0,NO,0
53,January,Wednesday,2014,3,D22,0,0,0,1,1,0,1,NO,0
54,January,Wednesday,2014,0,D53,0,0,0,1,1,0,0,NO,0
55,January,Wednesday,2014,0,D11,0,1,0,0,1,0,1,NO,0
56,January,Wednesday,2014,17,D32,0,0,1,0,1,0,0,NO,0
57,January,Wednesday,2014,14,D42,0,0,0,1,1,0,0,NO,0
58,January,Wednesday,2014,9,D33,0,0,0,1,1,0,0,NO,0
59,January,Wednesday,2014,22,D32,0,1,0,0,1,0,0,NO,0
60,January,Wednesday,2014,14,D32,0,0,0,1,1,0,0,NO,0
61,January,Wednesday,2014,3,D14,0,0,0,1,1,0,0,NO,0
62,January,Wednesday,2014,2,D42,0,0,0,1,1,0,0,NO,0
63,January,Wednesday,2014,14,D32,0,0,0,1,1,0,0,NO,0
64,January,Wednesday,2014,2,D22,0,1,0,0,1,0,1,NO,0
65,January,Wednesday,2014,3,D11,0,0,1,0,1,0,0,NO,0
66,January,Wednesday,2014,21,D42,0,1,0,0,1,0,1,NO,0
67,January,Wednesday,2014,2,D52,0,0,0,1,1,0,0,NO,0
68,January,Wednesday,2014,20,D32,0,0,0,1,1,0,0,NO,0
69,January,Wednesday,2014,9,D55,0,0,0,1,1,0,0,NO,0
70,January,Wednesday,2014,2,D51,0,1,0,0,1,0,1,NO,0
71,January,Wednesday,2014,3,D42,0,0,1,0,1,0,0,NO,0
72,January,Wednesday,2014,19,D14,0,0,0,1,1,0,0,NO,0
73,January,Wednesday,2014,20,D53,0,1,0,0,1,0,1,NO,0
74,January,Thursday,2014,16,D31,0,0,0,1,1,0,0,NO,0
75,January,Thursday,2014,11,D23,0,1,0,0,1,0,0,NO,1
76,January,Thursday,2014,14,D52,0,0,0,1,1,0,0,NO,0
77,January,Thursday,2014,15,D42,0,0,0,1,1,0,0,NO,0
78,January,Thursday,2014,15,D41,0,0,0,1,1,0,0,NO,0
79,January,Thursday,2014,17,D42,0,0,1,0,1,0,0,NO,0
80,January,Thursday,2014,14,D13,0,0,0,1,1,0,0,NO,0
81,January,Thursday,2014,8,D41,0,0,0,1,1,0,0,NO,0
82,January,Thursday,2014,17,D32,0,0,1,0,1,0,0,NO,0
83,January,Thursday,2014,16,D42,0,0,0,1,1,0,0,NO,0
84,January,Thursday,2014,18,D31,0,0,0,1,1,0,0,NO,0
85,January,Thursday,2014,11,D32,0,0,0,1,1,0,0,NO,0
86,January,Thursday,2014,9,D52,0,0,0,1,1,0,0,NO,0
87,January,Thursday,2014,17,D52,0,0,0,1,1,0,0,NO,0
88,January,Thursday,2014,8,D41,0,0,1,0,1,0,0,NO,0
89,January,Thursday,2014,15,D13,0,0,0,1,1,0,0,NO,0
90,January,Thursday,2014,18,D52,0,0,1,1,1,0,0,YES,0
91,January,Thursday,2014,17,D14,0,0,0,1,1,0,0,NO,0
92,January,Thursday,2014,22,D41,0,0,0,1,1,0,0,NO,0
93,January,Thursday,2014,22,D51,0,0,0,1,1,0,0,NO,0
94,January,Thursday,2014,21,D11,0,1,0,0,1,0,1,NO,0
95,January,Thursday,2014,21,D11,0,0,0,1,1,0,0,NO,0
96,January,Thursday,2014,19,D12,0,0,1,1,1,0,0,NO,0
97,January,Thursday,2014,19,D12,0,0,0,1,1,0,0,NO,0
98,January,Thursday,2014,14,D41,0,0,0,1,1,0,0,NO,0
99,January,Thursday,2014,15,D13,0,0,0,1,1,0,1,NO,0
100,January,Thursday,2014,19,D55,0,0,0,1,1,0,0,NO,0
101,January,Thursday,2014,6,NSA,0,0,0,1,1,0,0,NO,0
102,January,Thursday,2014,8,NSA,0,0,0,1,1,0,0,NO,0
103,January,Thursday,2014,11,NSA,0,0,0,1,1,0,0,NO,0
104,January,Thursday,2014,13,NSA,0,0,1,0,1,0,0,NO,0
105,January,Thursday,2014,13,NSA,0,0,0,1,1,0,0,NO,0
106,January,Thursday,2014,15,NSA,0,0,0,1,1,0,0,NO,0
107,January,Thursday,2014,16,NSA,0,0,0,1,1,0,0,NO,0
108,January,Thursday,2014,12,NSA,0,0,0,1,1,0,0,NO,0
109,January,Thursday,2014,10,NSA,0,0,0,1,1,0,0,NO,0
110,January,Thursday,2014,14,NSA,0,0,0,1,1,0,0,NO,0
111,January,Thursday,2014,18,NSA,0,0,0,1,1,0,0,NO,0
112,January,Thursday,2014,20,NSA,0,0,1,0,1,0,0,NO,0
113,January,Thursday,2014,18,NSA,0,0,1,0,1,0,0,NO,0
114,January,Thursday,2014,8,D55,0,0,1,0,1,0,0,NO,0
115,January,Thursday,2014,8,D41,0,0,0,1,1,0,0,NO,0
116,January,Thursday,2014,16,D22,0,0,0,1,1,0,0,NO,0
117,January,Thursday,2014,15,D42,0,0,0,1,1,0,0,NO,0
118,January,Thursday,2014,9,NSA,0,0,0,1,1,0,0,NO,0
119,January,Thursday,2014,17,D42,0,0,0,1,1,0,0,NO,0
120,January,Thursday,2014,22,NSA,0,0,0,1,1,0,0,NO,0
121,January,Thursday,2014,8,NSA,0,0,1,0,1,0,0,NO,0
122,January,Thursday,2014,15,NSA,0,0,0,1,1,0,0,NO,0
123,January,Thursday,2014,8,NSA,0,0,1,0,1,0,0,NO,0
124,January,Thursday,2014,12,NSA,0,0,0,1,1,0,0,NO,0
125,January,Thursday,2014,11,NSA,0,0,1,0,1,0,0,NO,0
127,January,Thursday,2014,7,D41,0,0,0,1,1,0,0,NO,0
128,January,Thursday,2014,8,D41,0,1,0,0,1,0,0,NO,0
129,January,Thursday,2014,7,D53,0,1,0,0,1,0,0,NO,0
130,January,Thursday,2014,8,D55,0,0,1,0,1,0,0,NO,0
131,January,Thursday,2014,9,D31,0,0,0,1,1,0,0,NO,0
132,January,Thursday,2014,9,NSA,0,0,0,1,1,0,0,NO,0
133,January,Thursday,2014,14,NSA,0,1,0,0,1,0,0,NO,0
134,January,Thursday,2014,20,D41,0,1,0,0,1,0,1,NO,0
135,January,Thursday,2014,9,D12,0,0,0,1,1,0,0,NO,0
136,January,Thursday,2014,16,D52,0,0,0,1,1,0,0,NO,0
137,January,Thursday,2014,16,D52,0,0,1,0,1,0,0,NO,0
138,January,Thursday,2014,18,D33,0,0,0,1,1,0,0,NO,0
139,January,Thursday,2014,18,D43,0,0,0,1,1,0,0,NO,0
140,January,Thursday,2014,20,D11,0,0,0,1,1,0,0,NO,0
141,January,Thursday,2014,19,D43,0,0,0,1,1,0,0,NO,0
142,January,Thursday,2014,18,D13,0,0,0,1,1,0,0,NO,0
143,January,Thursday,2014,18,D43,0,0,1,0,1,0,0,NO,0
144,January,Thursday,2014,19,D13,0,0,0,1,1,0,0,NO,0
145,January,Thursday,2014,17,D22,0,0,0,1,1,0,0,NO,0
146,January,Thursday,2014,18,D33,0,0,0,1,1,0,0,NO,0
147,January,Thursday,2014,11,D12,0,0,1,0,1,0,0,NO,0
148,January,Thursday,2014,15,D43,0,0,0,1,1,0,0,NO,0
149,January,Thursday,2014,15,D13,0,0,0,1,1,0,0,NO,0
150,January,Thursday,2014,11,D42,0,0,1,0,1,0,0,NO,0
151,January,Thursday,2014,7,D52,0,0,0,1,1,0,0,NO,0
152,January,Thursday,2014,17,D14,0,0,0,1,1,0,0,NO,0
153,January,Thursday,2014,10,D22,0,0,1,0,1,0,0,NO,0
154,January,Thursday,2014,23,D14,0,0,1,0,1,0,0,NO,0
155,January,Thursday,2014,18,D43,0,1,0,0,1,0,0,NO,0
156,January,Thursday,2014,10,NSA,0,0,0,1,1,0,0,NO,0
157,January,Thursday,2014,8,D33,0,0,0,1,1,0,0,NO,0
158,January,Thursday,2014,18,D32,0,0,1,0,1,0,0,NO,0
160,January,Thursday,2014,17,D55,0,0,1,0,1,0,0,NO,0
